,"Situation [doctor, day, scenario]",Solution Present (1) - Not Present (0)
0,"x[G0,Mon,M1i]",0.0
1,"x[G0,Mon,M2i]",0.0
2,"x[G0,Mon,M3i]",0.0
3,"x[G0,Mon,E1i]",0.0
4,"x[G0,Mon,E2i]",0.0
5,"x[G0,Mon,E3i]",0.0
6,"x[G0,Mon,M1n]",0.0
7,"x[G0,Mon,M2n]",0.0
8,"x[G0,Mon,M3n]",0.0
9,"x[G0,Mon,E1n]",0.0
10,"x[G0,Mon,E2n]",0.0
11,"x[G0,Mon,E3n]",0.0
12,"x[G0,Tue,M1i]",0.0
13,"x[G0,Tue,M2i]",0.0
14,"x[G0,Tue,M3i]",0.0
15,"x[G0,Tue,E1i]",0.0
16,"x[G0,Tue,E2i]",0.0
17,"x[G0,Tue,E3i]",0.0
18,"x[G0,Tue,M1n]",0.0
19,"x[G0,Tue,M2n]",0.0
20,"x[G0,Tue,M3n]",0.0
21,"x[G0,Tue,E1n]",0.0
22,"x[G0,Tue,E2n]",1.0
23,"x[G0,Tue,E3n]",0.0
24,"x[G0,Wed,M1i]",0.0
25,"x[G0,Wed,M2i]",0.0
26,"x[G0,Wed,M3i]",0.0
27,"x[G0,Wed,E1i]",0.0
28,"x[G0,Wed,E2i]",0.0
29,"x[G0,Wed,E3i]",0.0
30,"x[G0,Wed,M1n]",0.0
31,"x[G0,Wed,M2n]",0.0
32,"x[G0,Wed,M3n]",1.0
33,"x[G0,Wed,E1n]",0.0
34,"x[G0,Wed,E2n]",0.0
35,"x[G0,Wed,E3n]",0.0
36,"x[G0,Thu,M1i]",0.0
37,"x[G0,Thu,M2i]",0.0
38,"x[G0,Thu,M3i]",0.0
39,"x[G0,Thu,E1i]",1.0
40,"x[G0,Thu,E2i]",0.0
41,"x[G0,Thu,E3i]",0.0
42,"x[G0,Thu,M1n]",0.0
43,"x[G0,Thu,M2n]",0.0
44,"x[G0,Thu,M3n]",0.0
45,"x[G0,Thu,E1n]",0.0
46,"x[G0,Thu,E2n]",0.0
47,"x[G0,Thu,E3n]",0.0
48,"x[G0,Fri,M1i]",0.0
49,"x[G0,Fri,M2i]",0.0
50,"x[G0,Fri,M3i]",0.0
51,"x[G0,Fri,E1i]",0.0
52,"x[G0,Fri,E2i]",0.0
53,"x[G0,Fri,E3i]",0.0
54,"x[G0,Fri,M1n]",0.0
55,"x[G0,Fri,M2n]",0.0
56,"x[G0,Fri,M3n]",0.0
57,"x[G0,Fri,E1n]",0.0
58,"x[G0,Fri,E2n]",0.0
59,"x[G0,Fri,E3n]",0.0
60,"x[G0,Sat,M1i]",0.0
61,"x[G0,Sat,M2i]",1.0
62,"x[G0,Sat,M3i]",0.0
63,"x[G0,Sat,E1i]",0.0
64,"x[G0,Sat,E2i]",0.0
65,"x[G0,Sat,E3i]",0.0
66,"x[G0,Sat,M1n]",0.0
67,"x[G0,Sat,M2n]",0.0
68,"x[G0,Sat,M3n]",0.0
69,"x[G0,Sat,E1n]",0.0
70,"x[G0,Sat,E2n]",0.0
71,"x[G0,Sat,E3n]",0.0
72,"x[G0,Sun,M1i]",0.0
73,"x[G0,Sun,M2i]",0.0
74,"x[G0,Sun,M3i]",0.0
75,"x[G0,Sun,E1i]",0.0
76,"x[G0,Sun,E2i]",0.0
77,"x[G0,Sun,E3i]",0.0
78,"x[G0,Sun,M1n]",0.0
79,"x[G0,Sun,M2n]",0.0
80,"x[G0,Sun,M3n]",0.0
81,"x[G0,Sun,E1n]",0.0
82,"x[G0,Sun,E2n]",0.0
83,"x[G0,Sun,E3n]",0.0
84,"x[G1,Mon,M1i]",0.0
85,"x[G1,Mon,M2i]",0.0
86,"x[G1,Mon,M3i]",0.0
87,"x[G1,Mon,E1i]",1.0
88,"x[G1,Mon,E2i]",0.0
89,"x[G1,Mon,E3i]",0.0
90,"x[G1,Mon,M1n]",0.0
91,"x[G1,Mon,M2n]",0.0
92,"x[G1,Mon,M3n]",0.0
93,"x[G1,Mon,E1n]",0.0
94,"x[G1,Mon,E2n]",0.0
95,"x[G1,Mon,E3n]",0.0
96,"x[G1,Tue,M1i]",0.0
97,"x[G1,Tue,M2i]",0.0
98,"x[G1,Tue,M3i]",0.0
99,"x[G1,Tue,E1i]",0.0
100,"x[G1,Tue,E2i]",0.0
101,"x[G1,Tue,E3i]",0.0
102,"x[G1,Tue,M1n]",0.0
