,"Situation [doctor, day, scenario]",Solution
0,"x[G0,Tue,M1i]",1.0
1,"x[G0,Wed,E2n]",1.0
2,"x[G0,Thu,E1n]",1.0
3,"x[G0,Fri,M3i]",1.0
4,"x[G1,Mon,M1n]",1.0
5,"x[G1,Wed,M1i]",1.0
6,"x[G1,Thu,E2n]",1.0
7,"x[G1,Fri,M1i]",1.0
8,"x[G2,Mon,E2n]",1.0
9,"x[G2,Tue,M1n]",1.0
10,"x[G2,Fri,M3n]",1.0
11,"x[G2,Sat,M2i]",1.0
12,"x[G3,Tue,E1n]",1.0
13,"x[G3,Wed,M2i]",1.0
14,"x[G3,Thu,M2i]",1.0
15,"x[G3,Fri,E1n]",1.0
16,"x[G4,Tue,M3i]",1.0
17,"x[G4,Wed,E3n]",1.0
18,"x[G4,Thu,M2i]",1.0
19,"x[G4,Sat,M3i]",1.0
20,"x[G5,Wed,E1n]",1.0
21,"x[G5,Thu,M1i]",1.0
22,"x[G5,Fri,M2n]",1.0
23,"x[G5,Sun,E3n]",1.0
24,"x[G6,Mon,M2i]",1.0
25,"x[G6,Tue,M1i]",1.0
26,"x[G6,Thu,E2i]",1.0
27,"x[G6,Fri,M2i]",1.0
28,"x[G7,Mon,M1n]",1.0
29,"x[G7,Wed,E1i]",1.0
30,"x[G7,Thu,E1i]",1.0
31,"x[G7,Fri,E1i]",1.0
32,"x[G8,Mon,E1i]",1.0
33,"x[G8,Wed,E2i]",1.0
34,"x[G8,Thu,M1i]",1.0
35,"x[G8,Sun,M2i]",1.0
36,"x[G9,Mon,E3i]",1.0
37,"x[G9,Fri,E2i]",1.0
38,"x[G9,Sat,E3i]",1.0
39,"x[G9,Sun,E3i]",1.0
40,"x[G10,Mon,E2i]",1.0
41,"x[G10,Tue,M3n]",1.0
42,"x[G10,Fri,E2n]",1.0
43,"x[G10,Sun,M3i]",1.0
44,"x[G11,Mon,E3n]",1.0
45,"x[G11,Wed,E1i]",1.0
46,"x[G11,Thu,M3n]",1.0
47,"x[G11,Sat,M2n]",1.0
48,"x[G12,Tue,M2i]",1.0
49,"x[G12,Wed,M1n]",1.0
50,"x[G12,Thu,E1i]",1.0
51,"x[G12,Fri,E1i]",1.0
52,"x[G13,Mon,E1n]",1.0
53,"x[G13,Tue,E2n]",1.0
54,"x[G13,Wed,M2n]",1.0
55,"x[G13,Fri,E2i]",1.0
56,"x[G14,Mon,M2n]",1.0
57,"x[G14,Tue,E3i]",1.0
58,"x[G14,Wed,M3i]",1.0
59,"x[G14,Thu,E3n]",1.0
60,"x[G15,Mon,E1i]",1.0
61,"x[G15,Tue,E1i]",1.0
62,"x[G15,Thu,M2n]",1.0
63,"x[G15,Sun,M2n]",1.0
64,"x[G16,Mon,M2i]",1.0
65,"x[G16,Tue,E3n]",1.0
66,"x[G16,Thu,M3i]",1.0
67,"x[G16,Fri,E3i]",1.0
68,"x[G17,Mon,M3i]",1.0
69,"x[G17,Thu,E2i]",1.0
70,"x[G17,Fri,M1i]",1.0
71,"x[G17,Sun,M3n]",1.0
72,"x[G18,Tue,E2i]",1.0
73,"x[G18,Wed,M1i]",1.0
74,"x[G18,Thu,E3i]",1.0
75,"x[G18,Sat,E3n]",1.0
76,"x[G19,Mon,M1i]",1.0
77,"x[G19,Tue,E2i]",1.0
78,"x[G19,Fri,M2i]",1.0
79,"x[G19,Sat,M2i]",1.0
80,"x[G20,Mon,M3n]",1.0
81,"x[G20,Wed,M2i]",1.0
82,"x[G20,Fri,M1n]",1.0
83,"x[G20,Sun,M2i]",1.0
84,"x[G21,Mon,E2i]",1.0
85,"x[G21,Tue,M2n]",1.0
86,"x[G21,Wed,M3n]",1.0
87,"x[G21,Fri,E3n]",1.0
88,"x[G22,Mon,M1i]",1.0
89,"x[G22,Wed,E3i]",1.0
90,"x[G22,Thu,M1n]",1.0
91,"x[G22,Sat,M3n]",1.0
92,"x[G23,Tue,E1i]",1.0
93,"x[G23,Fri,M1i]",1.0
94,"x[G23,Sat,M2i]",1.0
95,"x[G23,Sun,M2i]",1.0
